timestamp,simple-path,time
2021-09-08 10:55:08.71,/master/welcome,1393
2021-09-08 10:55:09.33,/master/welcome,574
2021-09-08 10:55:10.158,/master/sign-in,650
2021-09-08 10:55:12.205,/master/welcome,1165
2021-09-08 10:55:16.969,/master/welcome,844
2021-09-08 10:55:18.299,/master/welcome,1212
2021-09-08 10:55:19.148,/master/welcome,545
2021-09-08 10:55:19.738,/master/welcome,525
2021-09-08 10:55:21.079,/master/sign-in,1210
2021-09-08 10:55:23.278,/master/welcome,1180
2021-09-08 10:55:24.82,/manager/task/create,1261
2021-09-08 10:55:27.987,/master/welcome,723
2021-09-08 10:55:29.448,/manager/task/list,1195
2021-09-08 10:55:33.219,/manager/task/show,1182
2021-09-08 10:55:34.515,/master/welcome,737
2021-09-08 10:55:35.309,/master/welcome,646
2021-09-08 10:55:35.893,/master/welcome,480
2021-09-08 10:55:36.643,/master/welcome,715
2021-09-08 10:55:37.374,/master/sign-in,607
2021-09-08 10:55:38.726,/master/welcome,607
2021-09-08 10:55:39.575,/manager/task/create,589
2021-09-08 10:55:41.542,/manager/task/create,633
2021-09-08 10:55:42.047,/master/welcome,439
2021-09-08 10:55:42.773,/master/welcome,605
2021-09-08 10:55:43.257,/master/welcome,395
2021-09-08 10:55:43.677,/master/welcome,388
2021-09-08 10:55:44.42,/master/sign-in,615
2021-09-08 10:55:45.942,/master/welcome,591
2021-09-08 10:55:46.81,/manager/task/create,591
2021-09-08 10:55:51.211,/manager/task/create,2912
2021-09-08 10:55:51.661,/master/welcome,397
2021-09-08 10:55:52.384,/master/welcome,599
2021-09-08 10:55:52.873,/master/welcome,414
2021-09-08 10:55:53.31,/master/welcome,392
2021-09-08 10:55:54.133,/master/sign-in,688
2021-09-08 10:55:55.527,/master/welcome,599
2021-09-08 10:55:57.604,/manager/task/create,1746
2021-09-08 10:55:59.685,/manager/task/create,625
2021-09-08 10:56:00.252,/master/welcome,497
2021-09-08 10:56:00.991,/master/welcome,618
2021-09-08 10:56:07.921,/master/welcome,691
2021-09-08 10:56:08.715,/master/welcome,749
2021-09-08 10:56:09.468,/master/sign-in,608
2021-09-08 10:56:10.825,/master/welcome,603
2021-09-08 10:56:13.428,/master/welcome,584
2021-09-08 10:56:14.155,/master/welcome,603
